Question	 Annotator Answers	 Golden Answers	 tp	 fp	 fn	 pre	 rec	 f1
how much is the total population of  european union?	[2]	[510056011]	0	1	1	0.0	0.0	0.0
when was the founding date of french fifth republic?	[1958-10-04]	[1958-10-04]	1	0	0	1.0	1.0	1.0
Who are the founders of  BlaBlaCar?	[Frédéric Mazzella  Nicolas Brusson  Francis Nappez]	[Frédéric Mazzella  Nicolas Brusson  Francis Nappez]	1	0	0	1.0	1.0	1.0
Who are the founding fathers of united states?	[]	[The Founding Fathers of the United States are the individuals of the Thirteen British Colonies in North America who led the American Revolution against the authority of the British Crown and established the United States of America. The term is also used more narrowly, referring specifically to those who either signed the Declaration of Independence in 1776 or who were delegates to the 1787 Constitutional Convention and took part in drafting the proposed Constitution of the United States. A further subset includes those who signed the Continental Association or the Articles of Confederation. During much of the 19th century, they were referred to as either the "Founders" or the "Fathers".]	0	0	1	0.0	0.0	0.0
how many foreigners speak German?	[0]	[as a foreign language: 75–100 million]	0	1	1	0.0	0.0	0.0
Where is the birthplace of Goethe?	[Annotation [uri=[http://en.wikipedia.org/wiki/Frankfurt_am_Main_%28Germany%29, http://dbpedia.org/resource/Frankfort-on-the-Main, http://dbpedia.org/resource/Portus_Francorum, http://dbpedia.org/resource/Frankfort-on-the-Maine, http://dbpedia.org/resource/Frankfort-am-Main, http://en.wikipedia.org/wiki/Frankfurt_(Main), http://cs.wikipedia.org/wiki/Frankfurt_nad_Mohanem, http://nl.wikipedia.org/wiki/Frankfurt_am_Main, http://en.wikipedia.org/wiki/Frankfurt_(state), http://pt.wikipedia.org/wiki/Frankfurt_am_Main, http://dbpedia.org/resource/Frankfurt-on-Main, http://en.wikipedia.org/wiki/Frankfort-on-the-Maine, http://es.wikipedia.org/wiki/Fr%C3%A1ncfort_del_Meno, http://linkedgeodata.org/triplify/node27418664, http://dbpedia.org/resource/Frankfurt_am_main, http://dbpedia.org/resource/Frankfurt_on_Main, http://it.wikipedia.org/wiki/Francoforte_sul_Meno, http://dbpedia.org/resource/Frankfurt_am_Main,_Hesse, http://en.wikipedia.org/wiki/Franfurt, http://it.dbpedia.org/resource/Francoforte_sul_Meno, http://dbpedia.org/resource/Frankfurt_am_Main,_Germany, http://fr.wikipedia.org/wiki/Francfort-sur-le-Main, http://sws.geonames.org/3220968/, http://dbpedia.org/resource/UN/LOCODE:DEFRA, http://en.wikipedia.org/wiki/Frankfurt_%28Main%29, http://en.wikipedia.org/wiki/Frankfort/Main, http://en.wikipedia.org/wiki/Frankfurt/Main, http://www.wikidata.org/entity/Q1794, http://en.wikipedia.org/wiki/Frankfurt%2C_Germany, http://dbpedia.org/resource/Frankfurt_am_Main%2C_Germany, http://dbpedia.org/resource/Franfurt, http://dbpedia.org/resource/Frankfurt%2C_Hesse, http://en.wikipedia.org/wiki/Frankfurt_am_Main,_Germany, http://rdf.freebase.com/ns/m.02z0j, http://dbpedia.org/resource/Frankfurt_am_Main, http://en.wikipedia.org/wiki/Frankfurt_am_main, http://el.dbpedia.org/resource/%CE%A6%CF%81%CE%B1%CE%B3%CE%BA%CF%86%CE%BF%CF%8D%CF%81%CF%84%CE%B7, http://de.dbpedia.org/resource/Frankfurt_am_Main, http://dbpedia.org/resource/Frankfurt,_Main, http://en.wikipedia.org/wiki/Frankfurt-on-the-Main, http://en.wikipedia.org/wiki/Frankfurt-on-Main, http://en.wikipedia.org/wiki/Frankfurt-Am-Main,_Germany, http://dbpedia.org/resource/Frankfurt_(state), http://en.wikipedia.org/wiki/Frankfurt,_Hesse, http://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%AF%E3%83%95%E3%83%AB%E3%83%88%E3%83%BB%E3%82%A2%E3%83%A0%E3%83%BB%E3%83%9E%E3%82%A4%E3%83%B3, http://en.wikipedia.org/wiki/Frankfurt_on_the_Main, http://ko.wikipedia.org/wiki/%ED%94%84%EB%9E%91%ED%81%AC%ED%91%B8%EB%A5%B4%ED%8A%B8%EC%95%94%EB%A7%88%EC%9D%B8, http://dbpedia.org/resource/Frankfurt_am_Main_(Germany), http://dbpedia.org/resource/Frankfurt,_Hesse, http://wikidata.dbpedia.org/resource/Q1794, http://fr.dbpedia.org/resource/Francfort-sur-le-Main, http://en.wikipedia.org/wiki/Frankfurt,_Germany, http://en.wikipedia.org/wiki/Frankfurt_a.M., http://en.wikipedia.org/wiki/Frankfurt,_Main, http://en.wikipedia.org/wiki/Frankfurt%E2%80%93am-Main, http://dbpedia.org/resource/Frankfurt_am_Main_%28Germany%29, http://dbpedia.org/resource/Frankfort-on-Main, http://es.dbpedia.org/resource/Fráncfort_del_Meno, http://ko.dbpedia.org/resource/%ED%94%84%EB%9E%91%ED%81%AC%ED%91%B8%EB%A5%B4%ED%8A%B8%EC%95%94%EB%A7%88%EC%9D%B8, http://en.wikipedia.org/wiki/Frankfort-on-Main, http://dbpedia.org/resource/Frankfurt_on_the_Main, http://dbpedia.org/resource/Frankfurt_(Main), http://en.wikipedia.org/wiki/Frankfurt, http://yago-knowledge.org/resource/Frankfurt, http://dbpedia.org/resource/Frankfurt/Main, http://cs.dbpedia.org/resource/Frankfurt_nad_Mohanem, http://el.dbpedia.org/resource/???????????, http://en.wikipedia.org/wiki/Portus_Francorum, http://dbpedia.org/resource/Frankfurt-Am-Main,_Germany, http://en.wikipedia.org/wiki/Frankfurt_am_Main%2C_Germany, http://dbpedia.org/resource/Frankfort/Main, http://en.wikipedia.org/wiki/Franckford, http://id.dbpedia.org/resource/Frankfurt_am_Main, http://dbpedia.org/resource/Frankfurt_am_Main%2C_Hesse, http://es.wikipedia.org/wiki/Fráncfort_del_Meno, http://en.wikipedia.org/wiki/UN/LOCODE%3ADEFRA, http://ja.dbpedia.org/resource/??????????????, http://dbpedia.org/resource/Frankfort_On_Main, http://en.wikipedia.org/wiki/Frankfurt_am_Main, http://de.wikipedia.org/wiki/Frankfurt_am_Main, http://dbpedia.org/resource/Frankfurt%2C_Germany, http://dbpedia.org/resource/Franckford, http://dbpedia.org/resource/Frankfurt-on-the-Main, http://dbpedia.org/resource/Frankfurt-Am-Main%2C_Germany, http://pl.dbpedia.org/resource/Frankfurt_nad_Menem, http://sws.geonames.org/6553153/, http://dbpedia.org/resource/Frankfurt%E2%80%93am-Main, http://nl.dbpedia.org/resource/Frankfurt_am_Main, http://dbpedia.org/resource/UN/LOCODE%3ADEFRA, http://en.wikipedia.org/wiki/UN/LOCODE:DEFRA, http://dbpedia.org/resource/Frankfurt,_Germany, http://dbpedia.org/resource/Frankfurt_%28Main%29, http://en.wikipedia.org/wiki/Frankfurt-Am-Main%2C_Germany, http://ja.dbpedia.org/resource/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%AF%E3%83%95%E3%83%AB%E3%83%88%E3%83%BB%E3%82%A2%E3%83%A0%E3%83%BB%E3%83%9E%E3%82%A4%E3%83%B3, http://en.wikipedia.org/wiki/Frankfort_on_the_Main, http://dbpedia.org/resource/Frankfurt_a.M., http://ja.wikipedia.org/wiki/??????????????, http://en.wikipedia.org/wiki/Frankfurt_am_Main_(Germany), http://pl.wikipedia.org/wiki/Frankfurt_nad_Menem, http://en.wikipedia.org/wiki/Frankfort-am-Main, http://sws.geonames.org/2925533/, http://en.wikipedia.org/wiki/Frankfort_On_Main, http://eu.dbpedia.org/resource/Frankfurt_am_Main, http://en.wikipedia.org/wiki/Frankfurt_%28state%29, http://dbpedia.org/resource/Frankfurt-am-Main, http://ko.dbpedia.org/resource/?????????, http://en.wikipedia.org/wiki/Frankfurt%2C_Main, http://en.wikipedia.org/wiki/Frankfurt_on_Main, http://ko.wikipedia.org/wiki/?????????, http://en.wikipedia.org/wiki/Frankfurt_am_Main%2C_Hesse, http://en.wikipedia.org/wiki/Frankfurt%2C_Hesse, http://dbpedia.org/resource/Frankfurt, http://en.wikipedia.org/wiki/Frankfort_on_Main, http://dbpedia.org/resource/Frankfort_on_the_Main, http://dbpedia.org/resource/Frankfurt%2C_Main, http://en.wikipedia.org/wiki/Frankfurt-am-Main, http://dbpedia.org/resource/Frankfurt-Am-Main, http://d-nb.info/gnd/4018118-2, http://dbpedia.org/resource/Frankfurt–am-Main, http://dbpedia.org/resource/Frankfort_on_Main, http://id.wikipedia.org/wiki/Frankfurt_am_Main, http://es.dbpedia.org/resource/Fr%C3%A1ncfort_del_Meno, http://en.wikipedia.org/wiki/Frankfort-on-the-Main, http://en.wikipedia.org/wiki/Frankfurt_am_Main,_Hesse, http://pt.dbpedia.org/resource/Frankfurt_am_Main, http://en.wikipedia.org/wiki/Frankfurt-Am-Main, http://dbpedia.org/resource/Frankfurt_%28state%29, http://eu.wikipedia.org/wiki/Frankfurt_am_Main, http://en.wikipedia.org/wiki/Frankfurt–am-Main]]]	[Annotation [uri=[http://dbpedia.org/resource/Holy_Roman_Empire]], Annotation [uri=[http://dbpedia.org/resource/Frankfurt]], Annotation [uri=[http://dbpedia.org/resource/Frankfurt-am-Main]]]	1	0	2	1.0	0.3333333333333333	0.5
Where is the origin of Carolina reaper?	[Annotation [uri=[http://pl.wikipedia.org/wiki/Fort_Mill, http://rdf.freebase.com/ns/m.0_nw4, http://fr.wikipedia.org/wiki/Fort_Mill_(Caroline_du_Sud), http://dbpedia.org/resource/Fort_Mill,_South_Carolina, http://pl.dbpedia.org/resource/Fort_Mill, http://fr.dbpedia.org/resource/Fort_Mill_%28Caroline_du_Sud%29, http://es.dbpedia.org/resource/Fort_Mill, http://en.wikipedia.org/wiki/Fort_Mill_Township,_South_Carolina, http://dbpedia.org/resource/Ft._Mill%2C_South_Carolina, http://yago-knowledge.org/resource/Fort_Mill%2C_South_Carolina, http://dbpedia.org/resource/Ft._Mill, http://pt.dbpedia.org/resource/Fort_Mill, http://en.wikipedia.org/wiki/Fort_Mill%2C_SC, http://en.wikipedia.org/wiki/Ft._Mill%2C_South_Carolina, http://dbpedia.org/resource/Fort_Mill%2C_SC, http://nl.wikipedia.org/wiki/Fort_Mill, http://www.wikidata.org/entity/Q2291273, http://en.wikipedia.org/wiki/Ft._Mill,_South_Carolina, http://en.wikipedia.org/wiki/Fort_Mill,_SC, http://sws.geonames.org/4578977/, http://linkedgeodata.org/triplify/node154050011, http://en.wikipedia.org/wiki/Fort_Mill,_South_Carolina, http://dbpedia.org/resource/Fort_Mill_Township,_South_Carolina, http://en.wikipedia.org/wiki/UN/LOCODE%3AUSFML, http://dbpedia.org/resource/Fort_Mill, http://dbpedia.org/resource/UN/LOCODE:USFML, http://it.wikipedia.org/wiki/Fort_Mill, http://en.wikipedia.org/wiki/Ft._Mill, http://fr.wikipedia.org/wiki/Fort_Mill_%28Caroline_du_Sud%29, http://yago-knowledge.org/resource/Fort_Mill,_South_Carolina, http://dbpedia.org/resource/UN/LOCODE%3AUSFML, http://it.dbpedia.org/resource/Fort_Mill, http://en.wikipedia.org/wiki/Fort_Mill_Township%2C_South_Carolina, http://es.wikipedia.org/wiki/Fort_Mill, http://dbpedia.org/resource/Fort_Mill_Township%2C_South_Carolina, http://en.wikipedia.org/wiki/Fort_Mill, http://yago-knowledge.org/resource/Fort_Mill, http://fr.dbpedia.org/resource/Fort_Mill_(Caroline_du_Sud), http://wikidata.dbpedia.org/resource/Q2291273, http://nl.dbpedia.org/resource/Fort_Mill, http://dbpedia.org/resource/Fort_Mill,_SC, http://en.wikipedia.org/wiki/Fort_Mill%2C_South_Carolina, http://dbpedia.org/resource/Fort_Mill%2C_South_Carolina, http://en.wikipedia.org/wiki/UN/LOCODE:USFML, http://dbpedia.org/resource/Ft._Mill,_South_Carolina, http://pt.wikipedia.org/wiki/Fort_Mill]]]	[The Carolina Reaper, originally named the HP22B, is a cultivar of chili pepper of the Capsicum chinense species. It is red and has a gnarled, lumpy pod with a tail like a scythe. As of 2013, Guinness has dubbed it as the hottest chilli in the world, surpassing the previous record holder, the Trinidad Scorpion "Butch T".]	0	1	1	0.0	0.0	0.0
How much is the population of mexico city ?	[2]	[8918653]	0	1	1	0.0	0.0	0.0
what is the nick name of Baghdad?	[Annotation [uri=[http://www.wikidata.org/entity/Q19367467, http://dbpedia.org/resource/Zekra_Alwach, http://es.dbpedia.org/resource/Zekra_Alwash, http://es.wikipedia.org/wiki/Zekra_Alwash, http://cs.dbpedia.org/resource/Zekra_Alwachová, http://wikidata.dbpedia.org/resource/Q19367467, http://cs.dbpedia.org/resource/Zekra_Alwachov%C3%A1, http://rdf.freebase.com/ns/m.012w5bgy, http://cs.wikipedia.org/wiki/Zekra_Alwachová, http://fr.dbpedia.org/resource/Zekra_Alwach, http://fr.wikipedia.org/wiki/Zekra_Alwach, http://en.wikipedia.org/wiki/Zekra_Alwach, http://cs.wikipedia.org/wiki/Zekra_Alwachov%C3%A1]]]	['The City of Peace']	0	1	1	0.0	0.0	0.0
Who is the novelist of the work a song of ice and fire?	[]	[Annotation [uri=[http://dbpedia.org/resource/George_R._R._Martin]]]	0	0	1	0.0	0.0	0.0
What is the percentage of area water in Brazil?	[]	[0.65]	0	0	1	0.0	0.0	0.0
how much is the population  Iraq?	[1]	[37056169]	0	1	1	0.0	0.0	0.0
What is the Sicilian pizza?	[]	[Sicilian pizza is pizza prepared in a manner that originated in Sicily, Italy. In the United States, the phrase Sicilian pizza is often synonymous with thick-crust or deep-dish pizza derived from the Sicilian sfincione [sfi??t?o?ne].]	0	0	1	0.0	0.0	0.0
What is the population of Cairo?	[Annotation [uri=[http://es.dbpedia.org/resource/Suez, http://el.dbpedia.org/resource/%CE%A3%CE%BF%CF%85%CE%AD%CE%B6, http://dbpedia.org/resource/Kolzum, http://ja.dbpedia.org/resource/???, http://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%A8%E3%82%BA, http://ja.wikipedia.org/wiki/???, http://nl.wikipedia.org/wiki/Suez, http://en.wikipedia.org/wiki/History_of_Suez, http://nl.dbpedia.org/resource/Suez, http://pt.dbpedia.org/resource/Suez, http://eu.wikipedia.org/wiki/Suez, http://dbpedia.org/resource/Suez,_Egypt, http://pl.wikipedia.org/wiki/Suez, http://pt.wikipedia.org/wiki/Suez, http://de.wikipedia.org/wiki/Sues, http://dbpedia.org/resource/??????, http://en.wikipedia.org/wiki/??????, http://fr.dbpedia.org/resource/Suez_%28ville%29, http://en.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%B3, http://it.dbpedia.org/resource/Suez, http://fr.dbpedia.org/resource/Suez_(ville), http://dbpedia.org/resource/History_of_Suez, http://ko.wikipedia.org/wiki/%EC%88%98%EC%97%90%EC%A6%88, http://de.dbpedia.org/resource/Sues, http://gadm.geovocab.org/id/1_912, http://linkedgeodata.org/triplify/node27564966, http://en.wikipedia.org/wiki/Suez, http://www.wikidata.org/entity/Q134514, http://cs.wikipedia.org/wiki/Suez, http://en.wikipedia.org/wiki/Kolzum, http://fr.wikipedia.org/wiki/Suez_(ville), http://it.wikipedia.org/wiki/Suez, http://en.wikipedia.org/wiki/Suez,_Egypt, http://yago-knowledge.org/resource/Suez, http://ko.dbpedia.org/resource/???, http://id.dbpedia.org/resource/Suez, http://fr.wikipedia.org/wiki/Suez_%28ville%29, http://dbpedia.org/resource/Suez, http://wikidata.dbpedia.org/resource/Q134514, http://eu.dbpedia.org/resource/Suez, http://cs.dbpedia.org/resource/Suez, http://ko.dbpedia.org/resource/%EC%88%98%EC%97%90%EC%A6%88, http://el.dbpedia.org/resource/?????, http://d-nb.info/gnd/4747363-0, http://ja.dbpedia.org/resource/%E3%82%B9%E3%82%A8%E3%82%BA, http://en.wikipedia.org/wiki/Suez%2C_Egypt, http://rdf.freebase.com/ns/m.01k6hh, http://es.wikipedia.org/wiki/Suez, http://pl.dbpedia.org/resource/Suez, http://ko.wikipedia.org/wiki/???, http://id.wikipedia.org/wiki/Suez, http://dbpedia.org/resource/Suez%2C_Egypt, http://dbpedia.org/resource/%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%B3, http://sws.geonames.org/359796/]]]	[10230350]	0	1	1	0.0	0.0	0.0
how much is the population densty rank of germany?	[1]	[58]	0	1	1	0.0	0.0	0.0
What is the relation between Resource Description Framework and Web Ontology Language?	[Annotation [uri=[http://es.wikipedia.org/wiki/Idioma_espa%C3%B1ol, http://dbpedia.org/resource/ISO_639:es, http://dbpedia.org/resource/Castillian_language, http://dbpedia.org/resource/ISO_639%3Aes, http://dbpedia.org/resource/ISO_639%3Aspa, http://fr.dbpedia.org/resource/Espagnol, http://dbpedia.org/resource/Castellano_language, http://en.wikipedia.org/wiki/Spanish-language, http://yago-knowledge.org/resource/Spanish_language, http://ko.dbpedia.org/resource/????, http://en.wikipedia.org/wiki/Castilian_('Spanish')_language, http://ko.dbpedia.org/resource/%EC%8A%A4%ED%8E%98%EC%9D%B8%EC%96%B4, http://el.dbpedia.org/resource/????????_??????, http://en.wikipedia.org/wiki/ISO_639:spa, http://cs.dbpedia.org/resource/%C5%A0pan%C4%9Bl%C5%A1tina, http://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E8%AA%9E, http://en.wikipedia.org/wiki/Modern_Spanish, http://cs.wikipedia.org/wiki/%C5%A0pan%C4%9Bl%C5%A1tina, http://dbpedia.org/resource/Spansh_language, http://sw.cyc.com/concept/Mx4rvVjlY5wpEbGdrcN5Y29ycA, http://fr.wikipedia.org/wiki/Espagnol, http://es.dbpedia.org/resource/Idioma_español, http://dbpedia.org/resource/Spanish_etymology, http://es.wikipedia.org/wiki/Idioma_español, http://dbpedia.org/resource/ESPA%C3%91OL_language, http://www.wikidata.org/entity/Q1321, http://dbpedia.org/resource/Spanish-language, http://dbpedia.org/resource/Lengua_española, http://ko.wikipedia.org/wiki/%EC%8A%A4%ED%8E%98%EC%9D%B8%EC%96%B4, http://de.dbpedia.org/resource/Spanische_Sprache, http://rdf.freebase.com/ns/m.06nm1, http://pt.wikipedia.org/wiki/Língua_castelhana, http://id.dbpedia.org/resource/Bahasa_Spanyol, http://dbpedia.org/resource/Spanish_Language, http://pt.dbpedia.org/resource/Língua_castelhana, http://eu.dbpedia.org/resource/Gaztelania, http://en.wikipedia.org/wiki/Spanish_Language, http://ja.dbpedia.org/resource/?????, http://es.dbpedia.org/resource/Idioma_espa%C3%B1ol, http://pl.dbpedia.org/resource/J?zyk_hiszpa?ski, http://ja.dbpedia.org/resource/%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E8%AA%9E, http://dbpedia.org/resource/Spanish_language, http://pl.wikipedia.org/wiki/J%C4%99zyk_hiszpa%C5%84ski, http://dbpedia.org/resource/Castilian_('Spanish')_language, http://en.wikipedia.org/wiki/ISO_639%3Aes, http://dbpedia.org/resource/Modern_Spanish, http://cs.wikipedia.org/wiki/Špan?lština, http://en.wikipedia.org/wiki/Castilian_%28%27Spanish%27%29_language, http://en.wikipedia.org/wiki/Spansh_language, http://en.wikipedia.org/wiki/Spanish_language, http://pl.dbpedia.org/resource/J%C4%99zyk_hiszpa%C5%84ski, http://dbpedia.org/resource/Spanish_%28language%29, http://en.wikipedia.org/wiki/ESPAÑOL_language, http://en.wikipedia.org/wiki/Spanish_%28language%29, http://en.wikipedia.org/wiki/ISO_639%3Aspa, http://en.wikipedia.org/wiki/Spanish_etymology, http://de.wikipedia.org/wiki/Spanische_Sprache, http://dbpedia.org/resource/ESPAÑOL_language, http://dbpedia.org/resource/ISO_639:spa, http://wikidata.dbpedia.org/resource/Q1321, http://pt.dbpedia.org/resource/L%C3%ADngua_castelhana, http://dbpedia.org/resource/Castilian_language, http://en.wikipedia.org/wiki/Castellano_language, http://el.dbpedia.org/resource/%CE%99%CF%83%CF%80%CE%B1%CE%BD%CE%B9%CE%BA%CE%AE_%CE%B3%CE%BB%CF%8E%CF%83%CF%83%CE%B1, http://dbpedia.org/resource/Spanish_(language), http://cs.dbpedia.org/resource/Špan?lština, http://it.dbpedia.org/resource/Lingua_spagnola, http://pt.wikipedia.org/wiki/L%C3%ADngua_castelhana, http://d-nb.info/gnd/4077640-2, http://dbpedia.org/resource/Spanish_langugae, http://dbpedia.org/resource/Lengua_espa%C3%B1ola, http://nl.wikipedia.org/wiki/Spaans, http://ko.wikipedia.org/wiki/????, http://nl.dbpedia.org/resource/Spaans, http://en.wikipedia.org/wiki/ISO_639:es, http://en.wikipedia.org/wiki/Spanish_langugae, http://dbpedia.org/resource/Castilian_%28%27Spanish%27%29_language, http://id.wikipedia.org/wiki/Bahasa_Spanyol, http://it.wikipedia.org/wiki/Lingua_spagnola, http://en.wikipedia.org/wiki/ESPA%C3%91OL_language, http://eu.wikipedia.org/wiki/Gaztelania, http://en.wikipedia.org/wiki/Lengua_espa%C3%B1ola, http://en.wikipedia.org/wiki/Spanish_(language), http://en.wikipedia.org/wiki/Castillian_language, http://ja.wikipedia.org/wiki/?????, http://pl.wikipedia.org/wiki/J?zyk_hiszpa?ski, http://en.wikipedia.org/wiki/Lengua_española, http://en.wikipedia.org/wiki/Castilian_language]]]	[The Web Ontology Language (OWL) is a family of knowledge representation languages for authoring ontologies. Ontologies are a formal way to describe taxonomies and classification networks, essentially defining the structure of knowledge for various domains: the nouns representing classes of objects and the verbs representing relations between the objects. Ontologies resemble class hierarchies in object-oriented programming but there are several critical differences. Class hierarchies are meant to represent structures used in source code that evolve fairly slowly (typically monthly revisions) whereas ontologies are meant to represent information on the Internet and are expected to be evolving almost constantly. Similarly, ontologies are typically far more flexible as they are meant to represent information on the Internet coming from all sorts of heterogeneous data sources. Class hierarchies on the other hand are meant to be fairly static and rely on far less diverse and more structured sources of data such as corporate databases. The OWL languages are characterized by formal semantics. They are built upon a W3C XML standard for objects called the Resource Description Framework (RDF). OWL and RDF have attracted significant academic, medical and commercial interest. In October 2007, a new W3C working group was started to extend OWL with several new features as proposed in the OWL 1.1 member submission. W3C announced the new version of OWL on 27 October 2009. This new version, called OWL 2, soon found its way into semantic editors such as Protégé and semantic reasoners such as Pellet, RacerPro, FaCT++ and HermiT. The OWL family contains many species, serializations, syntaxes and specifications with similar names. OWL and OWL2 are used to refer to the 2004 and 2009 specifications, respectively. Full species names will be used, including specification version (for example, OWL2 EL). When referring more generally, OWL Family will be used.]	0	1	1	0.0	0.0	0.0
how big is the total area of North Rhine- Westphalia?	[]	[3.40841e+10]	0	0	1	0.0	0.0	0.0
What is the original title of the interpretation of dreams?	[]	[The Interpretation of Dreams, Die Traumdeutung]	0	0	2	0.0	0.0	0.0
how many times the German football team won the world cup?	[0]	[Champions, 1954, 1974, 1990 and 2014]	0	1	1	0.0	0.0	0.0
Who are the writers of the Wall album of Pink Floyd?	[Annotation [uri=[http://en.wikipedia.org/wiki/Brian_Peter_George_St_John_le_Baptiste_de_la_Salle_Eno, http://es.dbpedia.org/resource/Brian_Eno, http://pl.wikipedia.org/wiki/Brian_Eno, http://ja.dbpedia.org/resource/?????????, http://yago-knowledge.org/resource/Brian_Eno, http://dbpedia.org/resource/C.S.J._Bofop, http://ko.wikipedia.org/wiki/%EB%B8%8C%EB%9D%BC%EC%9D%B4%EC%96%B8_%EC%9D%B4%EB%85%B8, http://dbpedia.org/resource/CSJ_Bofop, http://en.wikipedia.org/wiki/Brain_Eno, http://dbpedia.org/resource/Enoxification, http://ja.wikipedia.org/wiki/?????????, http://fr.dbpedia.org/resource/Brian_Eno, http://en.wikipedia.org/wiki/C.S.J._Bofop, http://cs.wikipedia.org/wiki/Brian_Eno, http://ja.wikipedia.org/wiki/%E3%83%96%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%A4%E3%83%BC%E3%83%8E, http://dbpedia.org/resource/The_Microsoft_Sound, http://el.dbpedia.org/resource/???????_???, http://sw.cyc.com/concept/Mx4rvhsL-JwpEbGdrcN5Y29ycA, http://eu.dbpedia.org/resource/Brian_Eno, http://en.wikipedia.org/wiki/The_Microsoft_Sound, http://nl.dbpedia.org/resource/Brian_Eno, http://ja.dbpedia.org/resource/%E3%83%96%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%A4%E3%83%BC%E3%83%8E, http://wikidata.dbpedia.org/resource/Q569003, http://dbpedia.org/resource/Eno_%28Roxy_Music%29, http://el.dbpedia.org/resource/%CE%9C%CF%80%CF%81%CE%AC%CE%B9%CE%B1%CE%BD_%CE%8A%CE%BD%CE%BF, http://dbpedia.org/resource/Biran_Eno, http://dbpedia.org/resource/Brian_eno, http://d-nb.info/gnd/118955691, http://de.dbpedia.org/resource/Brian_Eno, http://en.wikipedia.org/wiki/Ben_O%27Rian, http://en.wikipedia.org/wiki/Bryan_Eno, http://nl.wikipedia.org/wiki/Brian_Eno, http://en.wikipedia.org/wiki/Eno_(Roxy_Music), http://dbpedia.org/resource/Ben_O'Rian, http://dbpedia.org/resource/Ben_O%27Rian, http://zitgist.com/music/artist/ff95eb47-41c4-4f7f-a104-cdc30f02e872, http://es.wikipedia.org/wiki/Brian_Eno, http://en.wikipedia.org/wiki/Brian_Peter_George_St._John_le_Baptiste_de_la_Salle_Eno, http://fr.wikipedia.org/wiki/Brian_Eno, http://en.wikipedia.org/wiki/Brian_eno, http://de.wikipedia.org/wiki/Brian_Eno, http://ko.dbpedia.org/resource/%EB%B8%8C%EB%9D%BC%EC%9D%B4%EC%96%B8_%EC%9D%B4%EB%85%B8, http://en.wikipedia.org/wiki/Biran_Eno, http://cs.dbpedia.org/resource/Brian_Eno, http://en.wikipedia.org/wiki/Enoxification, http://dbpedia.org/resource/Brian_Peter_George_St_John_le_Baptiste_de_la_Salle_Eno, http://dbpedia.org/resource/Brian_Eno, http://ko.dbpedia.org/resource/????_??, http://dbpedia.org/resource/Brian_Peter_George_St._John_le_Baptiste_de_la_Salle_Eno, http://it.wikipedia.org/wiki/Brian_Eno, http://ko.wikipedia.org/wiki/????_??, http://en.wikipedia.org/wiki/CSJ_Bofop, http://rdf.freebase.com/ns/m.018x3, http://dbpedia.org/resource/Bryan_Eno, http://en.wikipedia.org/wiki/Ben_O'Rian, http://en.wikipedia.org/wiki/Eno_%28Roxy_Music%29, http://www.wikidata.org/entity/Q569003, http://it.dbpedia.org/resource/Brian_Eno, http://en.wikipedia.org/wiki/Brian_Eno, http://dbpedia.org/resource/Eno_(Roxy_Music), http://pt.dbpedia.org/resource/Brian_Eno, http://eu.wikipedia.org/wiki/Brian_Eno, http://pt.wikipedia.org/wiki/Brian_Eno, http://dbpedia.org/resource/Brain_Eno, http://pl.dbpedia.org/resource/Brian_Eno]]]	[Gilmour,, Gilmour, Waters, Ezrin, Waters,, Waters]	0	1	5	0.0	0.0	0.0
When was the death  of  Shakespeare?	[1616-4-23]	[1616-04-23]	0	1	1	0.0	0.0	0.0
